source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,ضبط تاجر مخدرات في زليتن,,https://alwasat.ly/news/libya/521758,2026-06-17,https://alwasat.ly/section/libya,جهاز مكافحة المخدرات يوقف متهمًا بترويج الممنوعات في زليتن.,Military & Security,Crime & Enforcement,in_range,accepted,editorial_score:55; section:Military & Security; marker:ضبط,60,MEDIUM,A,unique,story-001,approved,pics_editorial_value_override:Military & Security; original_score_below_threshold; pics_editorial_value_override:Military & Security; low_priority_promoted; passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,al_wasat:https://alwasat.ly/news/libya/521758,al_wasat,
Al Wasat,ar,العثور على كميات كبيرة من مخلفات الحرب في غريان,,https://alwasat.ly/news/libya/521754,2026-06-17,https://alwasat.ly/section/libya,جهاز المباحث الجنائية يتعامل مع كميات كبيرة من مخلفات الحرب في غريان.,Varieties,Society,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,60,MEDIUM,A,unique,story-120,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:5<60; promoted during raw-candidate editorial review,no,al_wasat:https://alwasat.ly/news/libya/521754,al_wasat,
Al Wasat,ar,خلال افتتاح معرض «إيبكس 2026».. «المركزي» يطلق تقنية «SoftPOS» لأول مرة في ليبيا,,https://alwasat.ly/news/libya/521750,2026-06-16,https://alwasat.ly/section/libya,محافظ مصرف ليبيا المركزي ناجي عيسى تحدث عن خدمات جديدة خلال افتتاح معرض ليبيا الدولي للدفع الإلكتروني.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:مصرف ليبيا المركزي,91,HIGH,A,clustered_cross_source,story-002,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant,no,al_wasat:https://alwasat.ly/news/libya/521750,al_wasat,
Al Wasat,ar,حفتر يفتتح مشروع طريق الباكور الرابط بين توكرة والمرج,,https://alwasat.ly/news/libya/521749,2026-06-16,https://alwasat.ly/section/libya,طريق الباكور الرابط بين مدينتي توكرة والمرج يبلغ طوله 20.6 كيلومتراً.,Varieties,Varieties,in_range,accepted,keyword_match:libya,10,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,al_wasat:https://alwasat.ly/news/libya/521749,al_wasat,
Al Wasat,ar,أسعار الذهب في ليبيا الثلاثاء (16 يونيو 2026),,https://alwasat.ly/news/libya/521747,2026-06-16,https://alwasat.ly/section/libya,أسعار الذهب المسجلة في ليبيا الثلاثاء 16 يونيو 2026.,Varieties,Varieties,in_range,accepted,keyword_match:libya,0,LOW,A,unique,,rejected,daily_market_listing,daily_market_listing,rejected,Reliable date inside target window and Libya-relevant; daily_market_listing,no,al_wasat:https://alwasat.ly/news/libya/521747,al_wasat,
Al Wasat,ar,افتتاح معرض ليبيا الدولي للدفع الإلكتروني «إيبكس 2026» (فيديو),,https://alwasat.ly/news/libya/521746,2026-06-16,https://alwasat.ly/section/libya,معرض ليبيا الدولي للدفع الإلكتروني تستمر فعالياته يومي 17 و18 يونيو الجاري.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,60,MEDIUM,A,clustered_cross_source,story-002,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant; insufficient_pics_signal:5<60; promoted during raw-candidate editorial review,no,al_wasat:https://alwasat.ly/news/libya/521746,al_wasat,
Al Wasat,ar,«حكومة الوحدة» توقع مذكرة تفاهم للتعاون العسكري مع النيجر,,https://alwasat.ly/news/libya/521743,2026-06-16,https://alwasat.ly/section/libya,نائب رئيس حكومة الوحدة الوطنية الموقتة سالم الزادمة ووكيل وزارة الدفاع عبدالسلام الزوبي يلتقيان رئيس الوزراء النيجري علي الأمين زين.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:93; section:Politics; marker:حكومة الوحدة,93,HIGH,A,clustered_cross_source,story-003,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant,no,al_wasat:https://alwasat.ly/news/libya/521743,al_wasat,
Al Wasat,ar,«وسط الخبر» يناقش تداعيات الحادث السيبراني على أنظمة وخدمات «المركزي»,,https://alwasat.ly/news/libya/521741,2026-06-16,https://alwasat.ly/section/libya,«قناة الوسط» تناقش مدى جاهزية الجهاز المصرفي الليبي لمواجهة الهجمات السيبرانية.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:مصرف,91,HIGH,A,unique,story-004,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant,no,al_wasat:https://alwasat.ly/news/libya/521741,al_wasat,
Al Wasat,ar,تفريغ ناقلة تحمل 34 مليون لتر من بنزين بميناء طرابلس,,https://alwasat.ly/news/libya/521739,2026-06-16,https://alwasat.ly/section/libya,شركة البريقة لتسويق النفط تعلن مواصلة التفريغ والشحن والتوزيع خلال عطلة رأس السنة الهجرية.,Economy & Energy,Other Economic News,in_range,accepted,editorial_score:91; section:Economy & Energy; marker:النفط,91,HIGH,A,unique,story-005,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant,no,al_wasat:https://alwasat.ly/news/libya/521739,al_wasat,
Al Wasat,ar,إغلاق جزئي لطريق المطار في طرابلس لمدة ثلاثة أيام لاستكمال الرصف,,https://alwasat.ly/news/libya/521735,2026-06-16,https://alwasat.ly/section/libya,مديرية أمن طرابلس تعلن إغلاق جزء من طريق المطار من الساعة الثانية عشرة من منتصف ليل اليوم ولمدة ثلاثة أيام.,Governance & Public Services,Public Administration,in_range,accepted,keyword_match:libya,72,MEDIUM,A,unique,story-112,rejected,low_priority_excluded_from_final_report,not_selected_for_final_report,approved,Reliable date inside target window and Libya-relevant; routine_local_service; promoted during narrative preservation review,no,al_wasat:https://alwasat.ly/news/libya/521735,al_wasat,
