story_id,story_headline,section,priority,source_name,source_url,publication_date,discovery_source,collection_timestamp,parser_used,evidence_status,qa_status,date_status
story-032,Libya political track raised in UN Security Council context,United Nations,HIGH,Al Sabaah,https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,2026-06-17,https://alsabaah.ly/?s=UNSMIL+Libya,2026-06-17T06:51:53Z,generic_list,collected_from_source,approved,in_range
story-026,UN officials address Libya political process and institutional division,United Nations,HIGH,Libya Review,https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,2026-06-17,https://libyareview.com/?s=UNSMIL+Libya,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-020,General Saddam Haftar meets Greek Prime Minister in Athens to discuss cooperation and illegal migration,Migration,HIGH,Libya Update,https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,2026-06-16,https://libyaupdate.com/news/,2026-06-17T06:53:29Z,generic_list,collected_from_source,approved,in_range
story-031,UNSMIL-linked Structured Dialogue recommendations shape Libya transition debate,Politics,HIGH,Ean Libya,https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,2026-06-17,https://www.eanlibya.com/?s=UNSMIL+Libya,2026-06-17T06:50:02Z,ean_libya,collected_from_source,approved,in_range
story-009,Delegations arrive in Tripoli for African petroleum training forum,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-002,Government bodies address public administration and service-delivery priorities,Economy & Energy,HIGH,Al Wasat,https://alwasat.ly/news/libya/521727,2026-06-16,https://alwasat.ly/section/libya,2026-06-17T06:49:09Z,al_wasat,collected_from_source,approved,in_range
story-007,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-016,Libya Hosts Trilateral Meeting with Algeria & Tunisia to Tackle Smuggling & Migration,Migration,HIGH,Libya Review,https://libyareview.com/66263/libya-hosts-trilateral-meeting-with-algeria-tunisia-to-tackle-smuggling-migration/,2026-06-16,https://libyareview.com/category/libya/,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-014,Libya and Mauritania discuss expanding bilateral partnership,Economy & Energy,HIGH,Libya Herald,https://libyaherald.com/2026/06/third-made-in-libya-exhibition-to-be-held-in-mauritania-in-december-2026,2026-06-16,https://libyaherald.com/category/libya/,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
story-004,"Libya, Iraq discuss education cooperation MoU",Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
