source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Libya 24,ar,جهود الحكومة الليبية وصندوق التنمية.. بثبات نحو إعادة إعمار المدن وتأسيس بنية تحتية متينة لمستقبل أكثر استقرارًا - ليبيا 24,,https://libya24.tv/2025/12/11/19192/,2025-12-10,https://libya24.tv/category/news/,تسير ليبيا اليوم في طريق إعمار طويل، لا يكتمل إلا بالصادقين العاملين في الميدان، أولئك الذين يرون في البناء واجبًا وطنيًا لا مجرد مشروع مؤقت. وفي هذا الطريق، تواصل الحكومة الليبية تنفيذ جهود واسعة لإعادة الحياة إلى مؤسسات الدولة، وترميم ما أفسدته سنوات الصراع، وبناء بنية تحتية قادرة على دعم الاستقرار والتنمية. تعمل الدولة على إعادة تأهيل الطرق والجسور وربط المدن بمسارات حديثة تعزز الحركة التجارية وتسهّل تنقل المواطنين، إلى جانب صيانة شبكات الكهرباء والمياه وتطوير محطات التحلية والصرف الصحي لضمان,Governance,Government,date_conflict,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,URL date differs from article metadata date; URL date conflicts with article metadata; needs editorial verification,no,libya_24:https://libya24.tv/2025/12/11/19192/,libya_24,url_date_conflict:2025-12-11
Libya 24,ar,خبراء أوروبيون: لا يوجد تفسيرًا علميًا لحرائق الأصابعة وسنقدم تقريرًا مفصلًا للجهات المختصة الأيام المقبلة - ليبيا 24,,https://libya24.tv/2025/04/14/2020/,2025-04-13,https://libya24.tv/category/news/,متابعات – ليبيا 24: أكد خبراء أوروبيون بأن حرائق منطقة الأصابعة ليست ناتجة عن أسباب بيئية، مما يترك المجال مفتوحًا لمواصلة التحقيق في الأسباب الحقيقية وراء هذه الحرائق. وبحسب تقرير لموقع روسيا اليوم تابعته ليبيا 24، فقد جاء هذا الاستنتاج عقب تحقيقات مكثفة، والتي رغم عدم تقديم تفسير علمي واضح حتى الآن، تسعى لتوضيح أسباب هذه الحرائق. وكان فريق الخبراء قد وصل مؤخرًا إلى المنطقة في مهمة ميدانية للتحقيق في سلسلة الحرائق الغامضة التي بدأت تظهر في عدة منازل بالأصابعة منذ فبراير الماضي ومازالت مستمرة حت,Politics,Politics,date_conflict,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,URL date differs from article metadata date; URL date conflicts with article metadata; needs editorial verification,no,libya_24:https://libya24.tv/2025/04/14/2020/,libya_24,url_date_conflict:2025-04-14
RNA Reportage,ar,وزير الدفاع الإيطالي: ليبيا لا تزال أولوية استراتيجية لروما وللناتو,,https://reportage.ly/وزير-الدفاع-الإيطالي-ليبيا-لا-تزال-أول/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Governance,Government,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/وزير-الدفاع-الإيطالي-ليبيا-لا-تزال-أول/,rna_reportage,missing_date
RNA Reportage,ar,تيتيه تقدم لـ”الاتحاد الأفريقي” إحاطة حول ليبيا,,https://reportage.ly/تيتيه-تقدم-لـالاتحاد-الأفريقي-إحاطة/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/تيتيه-تقدم-لـالاتحاد-الأفريقي-إحاطة/,rna_reportage,missing_date
RNA Reportage,ar,بولس يبحث مع “الخارجية المصرية” تطورات الأوضاع في ليبيا,,https://reportage.ly/بولس-يبحث-مع-الخارجية-المصرية-تطورات/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Regional & International,Foreign Relations,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/بولس-يبحث-مع-الخارجية-المصرية-تطورات/,rna_reportage,missing_date
RNA Reportage,ar,“المحاسبة”: ليبيا تعتمد على الاستيراد لتوفير 76% من احتياجاتها من الوقود,,https://reportage.ly/المحاسبة-ليبيا-تعتمد-على-الاستيراد-ل/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Economy,Oil & Energy,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/المحاسبة-ليبيا-تعتمد-على-الاستيراد-ل/,rna_reportage,missing_date
RNA Reportage,ar,تيتيه: المرحلة المقبلة من العملية السياسية في ليبيا ستظل قائمة على جهود يقودها الليبيون,,https://reportage.ly/تيتيه-المرحلة-المقبلة-من-العملية-السي/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/تيتيه-المرحلة-المقبلة-من-العملية-السي/,rna_reportage,missing_date
RNA Reportage,ar,سفارة السودان بطرابلس: رعايانا ليست لديهم أي رغبة بإعادة توطينهم في ليبيا,,https://reportage.ly/سفارة-السودان-بطرابلس-رعايانا-ليست-لد/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/سفارة-السودان-بطرابلس-رعايانا-ليست-لد/,rna_reportage,missing_date
RNA Reportage,ar,الأمم المتحدة: نشعر بقلق بالغ إزاء الاحتجاجات العنيفة التي اندلعت أمام المفوضية والبعثة الأممية في ليبيا,,https://reportage.ly/الأمم-المتحدة-نشعر-بقلق-بالغ-إزاء-الاح/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,United Nations,UNSMIL,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/الأمم-المتحدة-نشعر-بقلق-بالغ-إزاء-الاح/,rna_reportage,missing_date
RNA Reportage,ar,تيتيه تبحث مع دبلوماسيين آخر التطورات في ليبيا ومستجدات تنفيذ خارطة الطريق,,https://reportage.ly/تيتيه-تبحث-مع-دبلوماسيين-آخر-التطورات/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Politics,Politics,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/تيتيه-تبحث-مع-دبلوماسيين-آخر-التطورات/,rna_reportage,missing_date
RNA Reportage,ar,خبير أرصاد جوية يرصد ظاهرة مناخية استثنائية غير مسبوقة في ليبيا,,https://reportage.ly/خبير-أرصاد-جوية-يرصد-ظاهرة-مناخية-استث/,,https://reportage.ly/?s=%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,,Environment,Environment,missing_date,accepted,keyword_match:ليبيا,0,,Tier 1,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,rna_reportage:https://reportage.ly/خبير-أرصاد-جوية-يرصد-ظاهرة-مناخية-استث/,rna_reportage,missing_date
Libya 24,ar,الحوار المهيكل في ليبيا.. هل يعيد إنتاج الحل أم يفتح مساراً جديداً للأزمة؟,,https://libya24.tv/2026/06/10/30943/,2026-06-10,https://libya24.tv/,,Politics,Politics,in_range,accepted,keyword_match:ليبيا,0,,A,unique,,review,missing_article_body,,needs_review,Reliable date inside target window and Libya-relevant; missing_article_body,no,libya_24:https://libya24.tv/2026/06/10/30943/,libya_24,
