story_id,canonical_headline,source_count,source_names,source_urls,language_markers,consolidation_status
story-001,Libyan security authorities report drug-enforcement operation,1,Al Wasat,https://alwasat.ly/news/libya/521758,(Arabic),ok
story-002,Government bodies address public administration and service-delivery priorities,1,Al Wasat,https://alwasat.ly/news/libya/521727,(Arabic),ok
story-003,Libya participates in regional election-related forum in Tunisia,2,Al Wasat; Tanasuh,https://alwasat.ly/news/libya/521721; https://tanasuh.tv/45245-2/,(Arabic); (Arabic),ok
story-004,"Libya, Iraq discuss education cooperation MoU",1,Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,,ok
story-005,"Saddam Haftar, Greek PM review military and economic cooperation",1,Libya Observer,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,,ok
story-006,UN migration agencies track protection and return issues affecting Libya,1,Libya Observer,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,,ok
story-007,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",1,Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,,ok
story-008,Libyan authorities expand deportation and anti-migration operations,1,Libya Observer,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,,ok
story-009,Delegations arrive in Tripoli for African petroleum training forum,1,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,,ok
story-010,NOC signs 3 oil production-sharing agreements with international firms,1,Libya Observer,https://libyaobserver.ly/economy/noc-signs-3-oil-production-sharing-agreements-international-firms,,ok
story-011,Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,2,Libya Observer; Libya Review,https://libyaobserver.ly/economy/libya-investment-authority-announces-assets-increase-518-billion; https://libyareview.com/66255/libyan-investment-authority-assets-rise-to-51-8-billion-in-first-quarter-of-2026/,; ,ok
story-012,Government reviews implementation challenges affecting Tripoli development projects,1,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,(Arabic),ok
story-013,Libyan Business Council Benghazi Hosts Chinese Ambassador,1,Libya Herald,https://libyaherald.com/2026/06/lbc-benghazi-branch-hosts-chinese-ambassador,,ok
story-014,Libya and Mauritania discuss expanding bilateral partnership,1,Libya Herald,https://libyaherald.com/2026/06/third-made-in-libya-exhibition-to-be-held-in-mauritania-in-december-2026,,ok
story-015,Libyan institutions address cultural and social developments with national monitoring relevance,1,Libya Herald,https://libyaherald.com/2026/06/benghazi-home-hospitality-show-2026-opens,,ok
