article_title,source,date,rejection_reason,should_have_been_accepted,rejection_explanation,article_url,sample_basis
"Aircraft carrying UAE officers, military equipment lands at Benina Airport in Benghazi",Libya Observer,2019-04-13,outside_date_window,no,Correct rejection: the parsed publication date is outside the 8-9 June 2026 monitoring window.,https://libyaobserver.ly/inbrief/aircraft-carrying-uae-officers-military-equipment-lands-benina-airport-benghazi,random sample seed=42
Dbeibah orders urgent NOC-GECOL meeting to ensure electric power stability during summer,Libya Observer,2026-07-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/dbeibah-orders-urgent-noc-gecol-meeting-ensure-electric-power-stability-during-summer,random sample seed=42
Takala reviews with Turkish diplomat HCS vision for addressing Libya’s current challenges,Libya Observer,2026-08-06,outside_date_window,yes,"Likely false rejection: source date appears to be DD/MM (08/06 = 8 June), but acceptance parsed it as 2026-08-06 and placed it outside the 8-9 June window. Story is Libya politics/governance and should be in scope.",https://libyaobserver.ly/news/takala-reviews-turkish-diplomat-hcs-vision-addressing-libyas-current-challenges,random sample seed=42
Libyan Embassy in Tokyo issues safety advisory over approaching typhoon,Libya Observer,2026-06-03,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/inbrief/libyan-embassy-tokyo-issues-safety-advisory-over-approaching-typhoon,random sample seed=42
Libya's Mufti: Regulating foreign labor is a security necessity; UNHCR should be expelled,Libya Observer,2026-04-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/libyas-mufti-regulating-foreign-labor-security-necessity-unhcr-should-be-expelled,random sample seed=42
4+4 committee begins meeting in Tunisia with UN envoy in attendance,Libya Observer,2026-04-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/44-committee-begins-meeting-tunisia-un-envoy-attendance,random sample seed=42
"Libya reviews arrangements with Italy for return of 7,000-year-old mummy",Libya Observer,2026-06-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/libya-reviews-arrangements-italy-return-7000-year-old-mummy,random sample seed=42
"Libya, Mauritania discuss boosting ties during official visit",Libya Observer,2026-07-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/libya-mauritania-discuss-boosting-ties-during-official-visit,random sample seed=42
Libyan football team receives poor treatment in Nigeria,Libya Observer,2024-10-10,outside_date_window,no,Correct rejection: the parsed publication date is outside the 8-9 June 2026 monitoring window.,https://libyaobserver.ly/news/libyan-football-team-receives-poor-treatment-nigeria,random sample seed=42
Fifth National Scout Camp and National Heritage Day,Libya Observer,2025-09-14,not_libya_related,no,Correct rejection: the sampled item is archival/low-monitoring-value and not a current Libya public-affairs headline for the requested window.,https://libyaobserver.ly/culture/fifth-national-scout-camp-and-national-heritage-day,random sample seed=42
"Structured Dialogue's governance track calls for unified authority, and ban on officials running for office",Libya Observer,2026-07-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/structured-dialogues-governance-track-calls-unified-authority-and-ban-officials-running-office,random sample seed=42
"Libya International Energy, Electricity and Technologies Exhibition 2024",Libya Observer,2024-12-15,outside_date_window,no,Correct rejection: the parsed publication date is outside the 8-9 June 2026 monitoring window.,https://libyaobserver.ly/economy/libya-international-energy-electricity-and-technologies-exhibition-2024,random sample seed=42
Arab banking union awards CBL governor top prize,Libya Observer,2026-06-07,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/economy/arab-banking-union-awards-cbl-governor-top-prize,random sample seed=42
Governance Track members tell Takala final Structured Dialogue recommendations don't represent them,Libya Observer,2026-08-06,outside_date_window,yes,"Likely false rejection: source date appears to be DD/MM (08/06 = 8 June), but acceptance parsed it as 2026-08-06 and placed it outside the 8-9 June window. Story is directly about Libya structured dialogue/governance.",https://libyaobserver.ly/news/governance-track-members-tell-takala-final-structured-dialogue-recommendations-dont-represent,random sample seed=42
David Linfield appointed to political and economic role at US Embassy to Libya,Libya Observer,2026-05-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/inbrief/david-linfield-appointed-political-and-economic-role-us-embassy-libya,random sample seed=42
Human rights body condemns attempted breach of UN mission's headquarters in Janzour,Libya Observer,2026-04-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/news/human-rights-body-condemns-attempted-breach-un-missions-headquarters-janzour,random sample seed=42
Tripoli to host national children’s arts festival,Libya Observer,2026-06-07,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/inbrief/tripoli-host-national-childrens-arts-festival,random sample seed=42
NOC chairman holds meetings with US officials,Libya Observer,2024-09-15,outside_date_window,no,Correct rejection: the parsed publication date is outside the 8-9 June 2026 monitoring window.,https://libyaobserver.ly/economy/noc-chairman-holds-meetings-us-officials,random sample seed=42
Tripoli International Fair 2025,Libya Observer,2025-04-25,outside_date_window,no,Correct rejection: the parsed publication date is outside the 8-9 June 2026 monitoring window.,https://libyaobserver.ly/economy/tripoli-international-fair-2025,random sample seed=42
Libyan National Museum advertisement wins three international awards,Libya Observer,2026-05-06,outside_date_window,no,Correct rejection for this window: the item appears outside 8-9 June 2026 after date normalization.,https://libyaobserver.ly/inbrief/libyan-national-museum-advertisement-wins-three-international-awards,random sample seed=42
البث المباشر لقناة ليبيا الأحرار - ليبيا الأحرار,Libya Al Ahrar,2023-02-01,outside_date_window,no,Correct rejection: this is a static/non-news page with an old publication date outside the 8-9 June 2026 window.,https://libyaalahrar.tv/live/,all rejected rows sampled
مسيرة ليبيا الأحرار في 10 أعوام - ليبيا الأحرار,Libya Al Ahrar,2022-02-09,outside_date_window,no,Correct rejection: this is a static/non-news page with an old publication date outside the 8-9 June 2026 window.,https://libyaalahrar.tv/timeline/,all rejected rows sampled
