source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
Al Wasat,ar,في رسالة إلى «المالية».. «المركزي» يحذر من استمرار ارتفاع فاتورة المرتبات,,https://alwasat.ly/news/libya/520889,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520889,al_wasat,missing_date
Al Wasat,ar,تحسن المعروض يهبط بأسعار الدواجن والبيض في الأسواق الليبية,,https://alwasat.ly/news/libya/520887,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520887,al_wasat,missing_date
Al Wasat,ar,توصيات «الحوار المهيكل»: القاعدة الدستورية المرحليَّة الخيار الأكثر واقعية بالمرحلة الانتقالية,,https://alwasat.ly/news/libya/520886,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520886,al_wasat,missing_date
Al Wasat,ar,لجنة «3+3» العسكرية المشتركة تناقش التحضيرات الخاصة بتمرين «فلينتلوك 2027»,,https://alwasat.ly/news/libya/520880,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520880,al_wasat,missing_date
Al Wasat,ar,قفل جزئي لطريق المطار بطرابلس ثلاثة أيام لاستكمال أعمال الرصف والصيانة,,https://alwasat.ly/news/libya/520874,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520874,al_wasat,missing_date
Al Wasat,ar,تاياني: وضع نشطاء «قافلة الصمود» المحتجزين في ليبيا «معقد»,,https://alwasat.ly/news/libya/520871,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520871,al_wasat,missing_date
Al Wasat,ar,توصيات فريق الحوكمة بالحوار المهيكل المتعلقة بالمسار الدستوري,,https://alwasat.ly/news/libya/520870,,https://alwasat.ly/section/libya,,Governance,Governance,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520870,al_wasat,missing_date
Al Wasat,ar,الطرابلسي خلال لقائه حراك «لا للتوطين»: لن نسمح بأي تواجد غير شرعي داخل ليبيا,,https://alwasat.ly/news/libya/520868,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520868,al_wasat,missing_date
Al Wasat,ar,سليمان يبحث مع «شلمبرجير» تطوير الحقول الهامشية وتأهيل الكفاءات الليبية بقطاع النفط,,https://alwasat.ly/news/libya/520866,,https://alwasat.ly/section/libya,,Economy,Oil & Energy,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520866,al_wasat,missing_date
Al Wasat,ar,مؤشرات تهدئة وتواصل المفاوضات.. «تغطية خاصة» تواكب تطورات الملف الإيراني,,https://alwasat.ly/news/libya/520862,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520862,al_wasat,missing_date
Al Wasat,ar,كاريكاتير خيري - استمرار أزمة «طوابير الوقود» في ليبيا,,https://alwasat.ly/news/caricature/519709,,https://alwasat.ly/section/libya,,Economy,Oil & Energy,missing_date,accepted,keyword_match:ليبيا,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/caricature/519709,al_wasat,missing_date
Al Wasat,ar,الحوار المهيكل يرسم 4 سيناريوهات للاقتصاد الليبي.. الدولار بين 5.2 و14.5 دينار بحلول 2027,,https://alwasat.ly/news/libya/520797,,https://alwasat.ly/section/libya,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520797,al_wasat,missing_date
Al Wasat,ar,تمويل دولي وثلاثة لقاحات واعدة تحت المجهر لمحاصرة «إيبولا»,,https://alwasat.ly/news/health-medicine/520912,,https://alwasat.ly/section/all,,Politics,Politics,missing_date,accepted,libya_source_topic:health,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/health-medicine/520912,al_wasat,missing_date
Al Wasat,ar,إعلان وفاة الشابة أبرار بن رمضان بعد فقدانها في سويسرا...,,https://alwasat.ly/news/libya/520375,,https://alwasat.ly/section/all,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520375,al_wasat,missing_date
Al Wasat,ar,«تاتنفت» الروسية تكشف مناقشات لتنفيذ مشروع جديد في ليبيا...,,https://alwasat.ly/news/libya/520664,,https://alwasat.ly/section/all,,Politics,Politics,missing_date,accepted,keyword_match:libya,0,,,unique,,unreviewed,,,needs_review,Date missing or uncertain; not approved automatically,no,al_wasat:https://alwasat.ly/news/libya/520664,al_wasat,missing_date
