category,expected,found,number_of_items,sources_checked,specific_search_terms_used,status,notes
United Nations,yes,yes,1,LANA; Libya 24; RNA Reportage,UNSMIL; Tetteh; Koury; البعثة الأممية; الأمم المتحدة; تيتيه; خوري,found,1 accepted item(s) matched category terms or section.
Politics,yes,partial,9,LANA; Libya 24; RNA Reportage,structured dialogue; elections; House of Representatives; High State Council; حوار; انتخابات; مجلس النواب; المجلس الأعلى للدولة,review_only,9 item(s) were collected but require date/editorial review.
Structured Dialogue,yes,partial,2,LANA; Libya 24; RNA Reportage,structured dialogue; dialogue committee; political roadmap; الحوار المهيكل; لجنة الحوار; خارطة الطريق,review_only,2 item(s) were collected but require date/editorial review.
Government Affairs,yes,yes,3,LANA; Libya 24; RNA Reportage,GNU; Dbeibah; Presidential Council; Menfi; government; حكومة الوحدة; الدبيبة; المجلس الرئاسي; المنفي,found,3 accepted item(s) matched category terms or section.
Elections,yes,no,0,LANA; Libya 24; RNA Reportage,elections; HNEC; electoral laws; انتخابات; المفوضية الوطنية العليا للانتخابات; القوانين الانتخابية,not_found_but_searched,No collected item matched this category in the configured live source set.
Military & Security,yes,yes,1,LANA; Libya 24; RNA Reportage,security; clashes; Zawiya; Kufra; أمن; اشتباكات; الزاوية; الكفرة,found,1 accepted item(s) matched category terms or section.
Migration,yes,yes,3,LANA; Libya 24; RNA Reportage,migration; migrants; UNHCR; IOM; deportation; trafficking; هجرة; مهاجرين; لاجئين; ترحيل; اتجار بالبشر,found,3 accepted item(s) matched category terms or section.
Human Rights,yes,partial,4,LANA; Libya 24; RNA Reportage,human rights; rights violations; detention; حقوق الإنسان; انتهاكات; احتجاز,collected_not_accepted,4 candidate item(s) were collected but not accepted.
Rule of Law,yes,partial,1,LANA; Libya 24; RNA Reportage,Attorney General; Audit Bureau; Anti-Corruption; prosecution; النائب العام; ديوان المحاسبة; مكافحة الفساد; النيابة,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Central Bank,yes,no,0,LANA; Libya 24; RNA Reportage,Central Bank; CBL; liquidity; salary; مصرف ليبيا المركزي; السيولة; المرتبات,not_found_but_searched,No collected item matched this category in the configured live source set.
Oil,yes,partial,3,LANA; Libya 24; RNA Reportage,NOC; National Oil Corporation; oil; Ras Lanuf; المؤسسة الوطنية للنفط; النفط; رأس لانوف,review_only,3 item(s) were collected but require date/editorial review.
Energy,yes,partial,3,LANA; Libya 24; RNA Reportage,fuel; Brega; gas; energy; الوقود; البريقة; الغاز; الطاقة,review_only,3 item(s) were collected but require date/editorial review.
Electricity,yes,yes,1,LANA; Libya 24; RNA Reportage,electricity; power grid; GECOL; الكهرباء; الشبكة العامة; الشركة العامة للكهرباء,found,1 accepted item(s) matched category terms or section.
Reconstruction,yes,partial,1,LANA; Libya 24; RNA Reportage,reconstruction; Derna; development projects; إعادة الإعمار; درنة; مشروعات التنمية,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Economy,yes,partial,5,LANA; Libya 24; RNA Reportage,Central Bank; NOC; oil; fuel; electricity; Audit Bureau; مصرف ليبيا المركزي; المؤسسة الوطنية للنفط; النفط; الوقود; الكهرباء; ديوان المحاسبة,review_only,5 item(s) were collected but require date/editorial review.
Environment,yes,partial,2,LANA; Libya 24; RNA Reportage,environment; weather; floods; climate; water; groundwater; livestock; بيئة; طقس; فيضانات; مناخ; مياه; مياه جوفية; الثروة الحيوانية,review_only,2 item(s) were collected but require date/editorial review.
Regional Diplomacy,yes,yes,1,LANA; Libya 24; RNA Reportage,regional diplomacy; Tunisia; Egypt; Italy; France; Uganda; تونس; مصر; إيطاليا; فرنسا; أوغندا,found,1 accepted item(s) matched category terms or section.
Regional & International,yes,yes,1,LANA; Libya 24; RNA Reportage,Reuters Libya; Anadolu Libya; international Libya; ليبيا دولي; ليبيا إقليمي,found,1 accepted item(s) matched category terms or section.
Analysis,yes,partial,1,LANA; Libya 24; RNA Reportage,analysis; commentary; opinion; تحليل; تعليق,collected_not_accepted,1 candidate item(s) were collected but not accepted.
Opinion,yes,no,0,LANA; Libya 24; RNA Reportage,opinion; column; commentary; رأي; مقال,not_found_but_searched,No collected item matched this category in the configured live source set.
Features,yes,partial,1,LANA; Libya 24; RNA Reportage,feature; interview; podcast; long-form; تقرير; مقابلة; بودكاست,review_only,1 item(s) were collected but require date/editorial review.
Varieties,yes,partial,8,LANA; Libya 24; RNA Reportage,sports Libya; culture Libya; analysis Libya; opinion Libya; رياضة ليبيا; ثقافة ليبيا; تحليل ليبيا; رأي ليبيا,collected_not_accepted,8 candidate item(s) were collected but not accepted.
